Area Pixels,Tailocin,Replicate,Area,Ptt
116.545,PttPEG-B,A,8.69738806,Non-PttA
146.581,Ptt-B,A,10.9388806,Non-PttA
110.11,PttPEG-B,A,8.217164179,Non-PttA
150.431,Ptt-B,A,11.22619403,Non-PttA
116.938,PttPEG-B,A,8.726716418,Non-PttA
106.228,Ptt-B,A,7.927462687,Non-PttA
108.59,PttPEG-B,A,8.103731343,Non-PttA
128.64,Ptt-B,A,9.6,Non-PttA
101.769,PttPEG-B,A,7.594701493,Non-PttA
129.149,Ptt-B,A,9.637985075,Non-PttA
103.496,PttPEG-B,A,7.72358209,Non-PttA
101.412,Ptt-B,A,7.568059701,Non-PttA
371.746,PttPEG-A,A,27.74223881,PttA
290.451,Ptt-A,A,21.67544776,PttA
134.192,11-A,A,10.01432836,Non-PttA
349.717,PttPEG-A,A,26.09828358,PttA
288.916,Ptt-A,A,21.56089552,PttA
121.152,11-A,A,9.04119403,Non-PttA
379.168,PttPEG-A,A,28.2961194,PttA
261.021,Ptt-A,A,19.4791791,PttA
134.192,11-A,A,10.01432836,Non-PttA
157.038,PttPEG-A,B,11.71925373,PttA
240.009,Ptt-A,B,17.9111194,PttA
99.116,11-A,B,7.396716418,Non-PttA
182.616,PttPEG-A,B,13.6280597,PttA
213.081,Ptt-A,B,15.90156716,PttA
132.6,11-A,B,9.895522388,Non-PttA
199.84,PttPEG-A,B,14.91343284,PttA
179.166,Ptt-A,B,13.37059701,PttA
122.798,11-A,B,9.164029851,Non-PttA
357.397,PttPEG-A,A,26.67141791,PttA
277.294,Ptt-A,A,20.69358209,PttA
131.515,11-A,A,9.814552239,Non-PttA
350.526,PttPEG-A,A,26.15865672,PttA
280.599,Ptt-A,A,20.94022388,PttA
118.393,11-A,A,8.835298507,Non-PttA
166.712,PttPEG-A,B,12.44119403,PttA
254.212,Ptt-A,B,18.97104478,PttA
121.389,11-A,B,9.058880597,Non-PttA
184.584,PttPEG-A,B,13.77492537,PttA
266.827,Ptt-A,B,19.91246269,PttA
130.993,11-A,B,9.775597015,Non-PttA
187.508,PttPEG-A,B,13.99313433,PttA
232.771,Ptt-A,B,17.37097015,PttA
120.046,11-A,B,8.958656716,Non-PttA
90.71,PttPEG-B,B,6.769402985,Non-PttA
103.699,Ptt-B,B,7.738731343,Non-PttA
103.699,PttPEG-B,B,7.738731343,Non-PttA
79.954,Ptt-B,B,5.966716418,Non-PttA
103.699,PttPEG-B,B,7.738731343,Non-PttA
98.169,Ptt-B,B,7.326044776,Non-PttA
86.051,PttPEG-B,B,6.421716418,Non-PttA
95.168,Ptt-B,B,7.102089552,Non-PttA
108.747,PttPEG-B,B,8.115447761,Non-PttA
101.211,Ptt-B,B,7.553059701,Non-PttA
101.211,PttPEG-B,B,7.553059701,Non-PttA
96.992,Ptt-B,B,7.238208955,Non-PttA
